,start_time,blendshapes
30,3500.0,"[Category(index=14, score=0.22453713417053223, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.26597779989242554, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.21584364771842957, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.29622167348861694, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.40992245078086853, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.2190883606672287, display_name='', category_name='mouthPressLeft')]"
31,3400.0,"[Category(index=4, score=0.2660790979862213, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.2163001000881195, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.25979501008987427, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.22764886915683746, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3302208483219147, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.2701815068721771, display_name='', category_name='mouthPressLeft')]"
32,3333.3333333333335,"[Category(index=4, score=0.26262906193733215, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.3762553334236145, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.381337434053421, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.250997930765152, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3842185437679291, display_name='', category_name='eyeSquintRight')]"
33,3233.3333333333335,"[Category(index=4, score=0.20671482384204865, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.29772141575813293, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.33148670196533203, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.20749211311340332, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.23921647667884827, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.4163777828216553, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.2353958785533905, display_name='', category_name='mouthPressLeft'), Category(index=44, score=0.24844643473625183, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.231689453125, display_name='', category_name='mouthSmileRight')]"
34,3133.3333333333335,"[Category(index=15, score=0.24780313670635223, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.29076120257377625, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3115357756614685, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.3266255259513855, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.3003513216972351, display_name='', category_name='mouthSmileRight')]"
35,3066.6666666666665,"[Category(index=14, score=0.27225571870803833, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.2814018130302429, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.40451735258102417, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.532835841178894, display_name='', category_name='eyeSquintRight'), Category(index=46, score=0.20436504483222961, display_name='', category_name='mouthStretchLeft')]"
36,2966.666666666667,"[Category(index=14, score=0.3178972899913788, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.31665387749671936, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.4015639126300812, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5042787790298462, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.22349907457828522, display_name='', category_name='mouthPressLeft')]"
37,2900.0,"[Category(index=14, score=0.36075490713119507, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.35870036482810974, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.20275647938251495, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.36871013045310974, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5109763145446777, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.2865690290927887, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.2419459968805313, display_name='', category_name='mouthSmileRight')]"
38,2800.0,"[Category(index=14, score=0.3190556466579437, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.3197416365146637, display_name='', category_name='eyeLookOutLeft'), Category(index=17, score=0.20720508694648743, display_name='', category_name='eyeLookUpLeft'), Category(index=18, score=0.24165630340576172, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.32843032479286194, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5420236587524414, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.3378339409828186, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.31171914935112, display_name='', category_name='mouthSmileRight')]"
39,2733.3333333333335,"[Category(index=14, score=0.2383822500705719, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.2621600925922394, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.21096967160701752, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.3635585606098175, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5105099678039551, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.27349579334259033, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.20966848731040955, display_name='', category_name='mouthSmileRight')]"
