ts,actions
114700.0,"{'browOuterUpLeft': 0.6096698641777039, 'browOuterUpRight': 0.6176342964172363, 'eyeLookDownLeft': 0.2306012362241745, 'eyeLookDownRight': 0.24740250408649445, 'eyeSquintLeft': 0.7017303705215454, 'eyeSquintRight': 0.46591103076934814, 'mouthPressLeft': 0.26755473017692566}"
117166.66666666667,"{'browOuterUpLeft': 0.4932178556919098, 'browOuterUpRight': 0.46246227622032166, 'eyeBlinkLeft': 0.24044203758239746, 'eyeBlinkRight': 0.2738533020019531, 'eyeLookDownLeft': 0.2949293851852417, 'eyeLookDownRight': 0.31159037351608276, 'eyeLookInRight': 0.35366615653038025, 'eyeLookOutLeft': 0.34716179966926575, 'eyeSquintLeft': 0.692290723323822, 'eyeSquintRight': 0.5863262414932251}"
119466.66666666667,"{'browOuterUpLeft': 0.6071606874465942, 'browOuterUpRight': 0.6229653358459473, 'eyeBlinkLeft': 0.2776389420032501, 'eyeBlinkRight': 0.33646148443222046, 'eyeLookDownLeft': 0.46464279294013977, 'eyeLookDownRight': 0.4663543105125427, 'eyeLookInRight': 0.34021082520484924, 'eyeLookOutLeft': 0.33331388235092163, 'eyeSquintLeft': 0.6361501216888428, 'eyeSquintRight': 0.48994678258895874}"
121933.33333333334,"{'browOuterUpLeft': 0.2511040270328522, 'eyeLookUpLeft': 0.2952382564544678, 'eyeLookUpRight': 0.3773103356361389, 'eyeSquintLeft': 0.22465194761753082, 'eyeSquintRight': 0.7294280529022217}"
124133.33333333333,"{'browOuterUpLeft': 0.5261327028274536, 'browOuterUpRight': 0.5191861391067505, 'eyeBlinkLeft': 0.3552919626235962, 'eyeBlinkRight': 0.39855754375457764, 'eyeLookDownLeft': 0.6030422449111938, 'eyeLookDownRight': 0.6069179773330688, 'eyeLookInRight': 0.20323722064495087, 'eyeLookOutLeft': 0.20621193945407867, 'eyeSquintLeft': 0.5945423245429993, 'eyeSquintRight': 0.48651379346847534}"
126466.66666666667,"{'browOuterUpLeft': 0.33107081055641174, 'browOuterUpRight': 0.4084821045398712, 'eyeSquintLeft': 0.5424448847770691, 'eyeSquintRight': 0.4051957130432129}"
128766.66666666666,"{'browInnerUp': 0.2009560912847519, 'browOuterUpLeft': 0.5586037635803223, 'browOuterUpRight': 0.5692629814147949, 'eyeBlinkLeft': 0.2961341142654419, 'eyeBlinkRight': 0.3666652739048004, 'eyeLookDownLeft': 0.5570480823516846, 'eyeLookDownRight': 0.5676841735839844, 'eyeLookInRight': 0.46225807070732117, 'eyeLookOutLeft': 0.4519537389278412, 'eyeSquintLeft': 0.4816206693649292, 'eyeSquintRight': 0.5498183369636536}"
130966.66666666667,"{'browOuterUpLeft': 0.37459051609039307, 'browOuterUpRight': 0.4325205683708191, 'eyeLookInLeft': 0.2411770224571228, 'eyeLookOutRight': 0.2778845727443695, 'eyeLookUpLeft': 0.4197053611278534, 'eyeLookUpRight': 0.46255457401275635, 'eyeSquintLeft': 0.5350140333175659, 'eyeSquintRight': 0.3807258903980255, 'mouthPucker': 0.21120886504650116}"
133400.0,"{'eyeLookUpLeft': 0.6188511252403259, 'eyeLookUpRight': 0.6421478986740112, 'eyeSquintLeft': 0.2852902114391327, 'mouthPucker': 0.29398444294929504}"
135300.0,"{'browOuterUpLeft': 0.22867147624492645, 'browOuterUpRight': 0.2705810070037842, 'eyeLookUpLeft': 0.5988364219665527, 'eyeLookUpRight': 0.6307839751243591, 'eyeSquintLeft': 0.20555242896080017, 'mouthPucker': 0.3540249466896057}"
137433.33333333334,"{'browOuterUpLeft': 0.21478958427906036, 'browOuterUpRight': 0.3195521831512451, 'eyeSquintLeft': 0.2869819104671478}"
141000.0,"{'browOuterUpRight': 0.32034406065940857, 'eyeBlinkLeft': 0.696865439414978, 'eyeBlinkRight': 0.33229878544807434, 'eyeLookDownLeft': 0.6675604581832886, 'eyeLookDownRight': 0.6707587242126465, 'eyeLookInLeft': 0.308809757232666, 'eyeLookOutRight': 0.29373425245285034, 'eyeSquintLeft': 0.35956186056137085, 'eyeSquintRight': 0.5411134958267212, 'mouthPressLeft': 0.38679251074790955, 'mouthPressRight': 0.24402813613414764, 'mouthShrugLower': 0.3207792341709137, 'mouthSmileLeft': 0.615158200263977, 'mouthSmileRight': 0.5828614234924316}"
143166.66666666666,"{'browOuterUpRight': 0.3259047567844391, 'eyeBlinkLeft': 0.5787328481674194, 'eyeBlinkRight': 0.39082223176956177, 'eyeLookDownLeft': 0.4166409969329834, 'eyeLookDownRight': 0.36834385991096497, 'eyeLookInLeft': 0.21132679283618927, 'eyeSquintLeft': 0.7122424840927124, 'eyeSquintRight': 0.555452823638916, 'mouthSmileLeft': 0.7313258051872253, 'mouthSmileRight': 0.5595491528511047}"
145500.0,"{'browOuterUpLeft': 0.4184172749519348, 'browOuterUpRight': 0.3996717929840088, 'eyeSquintLeft': 0.5624028444290161, 'eyeSquintRight': 0.5513843297958374, 'mouthPressLeft': 0.5421571135520935}"
147666.66666666666,"{'browInnerUp': 0.23233798146247864, 'browOuterUpLeft': 0.48688724637031555, 'browOuterUpRight': 0.7191447019577026, 'eyeBlinkLeft': 0.29043030738830566, 'eyeLookDownLeft': 0.36472567915916443, 'eyeLookDownRight': 0.3184068500995636, 'eyeLookInRight': 0.2837473750114441, 'eyeLookOutLeft': 0.2890929579734802, 'eyeSquintLeft': 0.488146036863327, 'eyeSquintRight': 0.5022813081741333, 'mouthPressLeft': 0.3408988118171692}"
148800.0,"{'browOuterUpLeft': 0.5418993234634399, 'browOuterUpRight': 0.5865178108215332, 'eyeBlinkLeft': 0.215780571103096, 'eyeBlinkRight': 0.22119136154651642, 'eyeLookDownLeft': 0.22279340028762817, 'eyeLookDownRight': 0.2326544225215912, 'eyeSquintLeft': 0.5963214635848999, 'eyeSquintRight': 0.4777890741825104, 'mouthPressLeft': 0.2451428323984146}"
150733.3333333333,"{'browOuterUpLeft': 0.22365736961364746, 'browOuterUpRight': 0.3208046555519104, 'eyeLookInLeft': 0.4672158658504486, 'eyeLookOutRight': 0.5131196975708008, 'eyeSquintRight': 0.2145465761423111}"
152966.66666666666,"{'eyeLookInLeft': 0.2117227464914322, 'eyeLookOutRight': 0.24763387441635132, 'eyeSquintLeft': 0.27020102739334106, 'eyeSquintRight': 0.3375982940196991, 'mouthRight': 0.35634174942970276}"
155066.66666666666,"{'browOuterUpRight': 0.21364575624465942, 'eyeLookDownLeft': 0.2231588363647461, 'eyeLookInLeft': 0.3999398946762085, 'eyeLookOutRight': 0.4199505150318146, 'eyeSquintLeft': 0.42542174458503723, 'eyeSquintRight': 0.48627355694770813}"
157166.66666666666,"{'eyeLookInLeft': 0.8827849626541138, 'eyeLookOutRight': 0.8273455500602722, 'eyeLookUpLeft': 0.2526799142360687, 'eyeSquintLeft': 0.27771350741386414, 'mouthPressLeft': 0.45768070220947266}"
159000.0,"{'browOuterUpLeft': 0.26725462079048157, 'eyeLookInLeft': 0.4155658781528473, 'eyeLookOutRight': 0.44191786646842957, 'eyeSquintRight': 0.3777334988117218, 'mouthPressLeft': 0.36568841338157654}"
161133.3333333333,"{'browInnerUp': 0.2432725578546524, 'browOuterUpRight': 0.32133057713508606, 'eyeLookInLeft': 0.6305192112922668, 'eyeLookOutRight': 0.6377781629562378, 'eyeSquintLeft': 0.33903971314430237, 'eyeSquintRight': 0.21006447076797485, 'mouthPressLeft': 0.31476131081581116}"
163633.3333333333,"{'browOuterUpRight': 0.2571749985218048, 'eyeLookInLeft': 0.32430875301361084, 'eyeLookOutRight': 0.3505127429962158, 'eyeLookUpLeft': 0.24168017506599426, 'eyeLookUpRight': 0.28666993975639343}"
165966.66666666666,"{'browOuterUpLeft': 0.2234339863061905, 'browOuterUpRight': 0.35532820224761963, 'eyeLookDownLeft': 0.27079400420188904, 'eyeLookDownRight': 0.30829641222953796, 'eyeLookInRight': 0.9136109948158264, 'eyeLookOutLeft': 0.9199288487434387, 'eyeSquintLeft': 0.6107398271560669, 'eyeSquintRight': 0.49900126457214355, 'mouthPressLeft': 0.32187527418136597}"
168200.0,"{'eyeLookInRight': 0.9639915227890015, 'eyeLookOutLeft': 0.9637808799743652, 'eyeLookUpLeft': 0.2780453562736511, 'eyeLookUpRight': 0.25111544132232666, 'eyeSquintLeft': 0.6390398740768433, 'eyeSquintRight': 0.3715254068374634, 'mouthLowerDownRight': 0.2659488320350647, 'mouthSmileLeft': 0.7527348399162292, 'mouthSmileRight': 0.7147374153137207}"
170633.3333333333,"{'browOuterUpLeft': 0.3712678551673889, 'browOuterUpRight': 0.31050366163253784, 'eyeSquintLeft': 0.8208984732627869, 'eyeSquintRight': 0.6628392338752747, 'mouthSmileLeft': 0.638662576675415, 'mouthSmileRight': 0.4981689751148224}"
173066.66666666666,"{'browOuterUpLeft': 0.3474583923816681, 'browOuterUpRight': 0.4875728487968445, 'eyeLookInLeft': 0.3278285562992096, 'eyeLookOutRight': 0.3565937876701355, 'eyeLookUpLeft': 0.434345006942749, 'eyeLookUpRight': 0.47174072265625}"
